time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Activity
2025-11-21 14:33:12.700992+00:00,-0.061,0.6617,-0.7598,-0.0154,-0.0065,0.0503,-0.0102,0.0027,0.0027,133.295,-138.9572,-4.3731,Sit
2025-11-21 14:33:12.801084+00:00,-0.0523,0.6695,-0.7637,0.0612,0.0672,-0.0204,-0.0005,-0.0107,-0.0021,133.3867,-138.9482,-4.3935,Sit
2025-11-21 14:33:12.901211+00:00,-0.0615,0.6636,-0.7569,-0.0295,-0.0336,0.0742,0.0203,-0.0241,-0.0095,133.3766,-138.9164,-4.413,Sit
2025-11-21 14:33:13.001397+00:00,-0.0606,0.6651,-0.7852,-0.0516,-0.0197,-0.1953,-0.0029,0.0687,0.004,133.6322,-139.1223,-4.5536,Sit
2025-11-21 14:33:13.101496+00:00,-0.0752,0.6578,-0.7432,-0.1735,-0.0828,0.1558,0.0093,-0.0388,0.0528,133.5196,-138.8561,-4.5803,Sit
2025-11-21 14:33:13.201642+00:00,-0.0713,0.6568,-0.7764,-0.1092,-0.0072,-0.1494,0.0728,0.0137,-0.0327,133.4843,-139.2539,-4.4294,Sit
2025-11-21 14:33:13.301699+00:00,-0.0464,0.6568,-0.7564,0.1196,0.0372,0.0894,-0.0163,0.004,0.0174,133.0884,-139.44,-4.2341,Sit
2025-11-21 14:33:13.402141+00:00,-0.0718,0.6661,-0.7481,-0.1045,0.0454,0.1766,0.013,-0.0767,0.0125,133.5643,-139.2572,-4.3971,Sit
2025-11-21 14:33:13.502488+00:00,-0.0503,0.6578,-0.7813,0.1394,0.0081,-0.1442,0.0154,0.0357,-0.0058,133.8653,-139.6443,-4.5237,Sit
2025-11-21 14:33:13.603111+00:00,-0.0518,0.6436,-0.7779,0.0772,-0.0707,-0.0578,0.0203,0.0235,-0.0168,133.4413,-139.6736,-4.3448,Sit
2025-11-21 14:33:13.703280+00:00,-0.0708,0.6612,-0.7618,-0.0905,0.0665,0.0742,0.0399,-0.0144,-0.0119,133.553,-139.7903,-4.4799,Sit
2025-11-21 14:33:13.803287+00:00,-0.0586,0.6485,-0.7784,0.0431,0.011,-0.0545,-0.0005,0.0076,-0.0095,133.7426,-139.995,-4.5661,Sit
2025-11-21 14:33:13.903589+00:00,-0.0635,0.6475,-0.7696,-0.0204,-0.0377,0.0337,-0.0017,0.0052,-0.0046,133.6138,-140.0159,-4.5333,Sit
2025-11-21 14:33:14.003856+00:00,-0.0615,0.6514,-0.7745,-0.0111,0.021,0.0046,0.002,0.0003,0.004,133.6272,-139.9831,-4.5545,Sit
2025-11-21 14:33:14.103951+00:00,-0.0601,0.6505,-0.7799,0.0023,0.0132,-0.0698,0.0069,0.004,-0.0082,133.5362,-140.0127,-4.5082,Sit
2025-11-21 14:33:14.204038+00:00,-0.064,0.6505,-0.7774,-0.0096,-0.0063,-0.0325,-0.0066,0.0052,0.0015,133.5467,-140.0297,-4.5248,Sit
2025-11-21 14:33:14.304215+00:00,-0.0581,0.6519,-0.773,0.0258,-0.0131,0.0308,0.0044,-0.0046,0.0003,133.4785,-139.9968,-4.4889,Sit
2025-11-21 14:33:14.404423+00:00,-0.061,0.6529,-0.7716,0.0061,-0.0005,0.0171,0.0008,0.0027,-0.0021,133.5159,-140.0135,-4.503,Sit
2025-11-21 14:33:14.504684+00:00,-0.0645,0.6534,-0.7769,-0.0152,0.0061,-0.0079,0.0081,-0.0058,-0.0009,133.5573,-140.0357,-4.52,Sit
2025-11-21 14:33:14.604832+00:00,-0.0601,0.6509,-0.7755,-0.0203,0.0084,-0.0271,0.0044,-0.0009,-0.0021,133.5993,-140.0744,-4.5327,Sit
2025-11-21 14:33:14.704991+00:00,-0.061,0.6514,-0.7784,-0.0088,0.0208,-0.0279,-0.0017,-0.0009,-0.0009,133.6281,-140.0829,-4.5464,Sit
2025-11-21 14:33:14.805393+00:00,-0.0615,0.6524,-0.7784,0.0039,0.0282,-0.0355,-0.009,0.0003,-0.0021,133.6322,-140.0719,-4.5517,Sit
2025-11-21 14:33:14.905342+00:00,-0.061,0.6544,-0.7735,-0.0247,-0.0049,0.0032,-0.0127,0.004,0.0003,133.6096,-140.0068,-4.5572,Sit
2025-11-21 14:33:15.005615+00:00,-0.063,0.6529,-0.774,-0.011,0.0037,0.002,-0.0115,0.0027,-0.0046,133.5773,-139.9484,-4.5554,Sit
2025-11-21 14:33:15.105815+00:00,-0.0601,0.6534,-0.773,0.0159,0.001,-0.0138,-0.0102,-0.0021,-0.0058,133.5237,-139.8721,-4.5467,Sit
2025-11-21 14:33:15.206083+00:00,-0.0606,0.6553,-0.774,-0.0056,0.0024,-0.0158,-0.0127,0.0027,-0.0058,133.5278,-139.8118,-4.5694,Sit
2025-11-21 14:33:15.306320+00:00,-0.0669,0.6568,-0.7711,-0.0094,-0.0031,0.0161,-0.0066,-0.0021,-0.0058,133.5399,-139.756,-4.6,Sit
